Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
LJA Engineering,HUNT,1101 McMurtie Dr,Suite D3,Huntsville,AL,35806,34.74209933,-86.68496626,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/Huntsville,%20AL_(HUNT)_1101McMurtieDr.pdf?csf=1&web=1&e=tQsM29","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/EmergencyFloorplans/Huntsville,%20AL_(HUNT)_1101McMurtieDr_EmergencyPlan.pdf?csf=1&web=1&e=HVjULk"
LJA Engineering,JAC3,4800 Deerwood Campus Pkwy,"Building 300, Suite 500",Jacksonville,FL,32246,30.25589029,-81.54557282,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBvHUk0sMhDRIAGNZ3incDSAZogA1VT17GuahQHnKhdhTo?e=qA9QHz,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_Jacksonville,%20FL_(JAC3)_4800DeerwoodCampusPkwy_EmergencyPlan.pdf?csf=1&web=1&e=Xqe3Hm"
LJA Engineering,KAN2,5901 NW 63rd Terrace,Suite 185,Kansas City,MO,64151,39.20825157,-94.64934236,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Missouri/KansasCity,%20MO_(KAN2)_5901NW63rdTerrace.pdf?csf=1&web=1&e=EUixLZ","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Missouri/EmergencyFloorplans/TBD_KansasCity,%20MO_(KAN2)_5901NW63rdTerrace_EmergencyPlan.pdf?csf=1&web=1&e=BtS2mF"
LJA Engineering,KAT2,2002 W Grand Parkway N,Suite 200,Katy,TX,77449,29.80437107,-95.77382767,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Katy,%20TX_(KAT2)_2002WestGrandPkwy.pdf?csf=1&web=1&e=v7lwaW","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Katy,%20TX_(KAT2)_2002WestGrandPkwy_EmergencyPlan.pdf?csf=1&web=1&e=SSEXsG"
LJA Engineering,KATY,1904 W Grand Parkway N,Suite 100,Katy,TX,77449,29.80292723,-95.77344201,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Katy,%20TX_(KATY)_1904WGrandPkwy.pdf?csf=1&web=1&e=3NpIeM","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Katy,%20TX_(KATY)_1904WGrandPkwy_EmergencyPlan.pdf?csf=1&web=1&e=0mfvrO"
LJA Engineering,KNO2,1111N Northshore Dr,Suite N800,Knoxville,TN,37919,35.9382111,-84.00436104,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/Knoxville,%20TN_(KNO2)_1111NorthShoreDr.pdf?csf=1&web=1&e=5hrxZC","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/EmergencyFloorplans/TBD_Knoxville,%20TN_(KNO2)_1111NorthShoreDr_EmergencyPlan.pdf?csf=1&web=1&e=q3m4HX"
LJA Surveying,LAKE,210 Lake Rd,Suite 100A,Lake Jackson,TX,77566,29.04101429,-95.46080056,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/LakeJackson,%20TX_(LAKE)_210LakeRd.pdf?csf=1&web=1&e=wbuW9j","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/LakeJackson,%20TX_(LAKE)_210LakeRd_EmergencyPlan.pdf?csf=1&web=1&e=zu2wzi"
LJA Engineering,LAR2,10410 Medical Loop,Suite 1A,Laredo,TX,78045,27.60568565,-99.47471266,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Laredo,%20TX_(LAR2)_10410MedicalLoop.pdf?csf=1&web=1&e=6XGbeS","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Laredo,%20TX_(LAR2)_10410MedicalLoop_EmergencyPlan.pdf?csf=1&web=1&e=iKXYjn"
Quest Utility Construction,LAR3,6339 State Highway 359,Unit B,Laredo,TX,78043,X,X,X,X
GSA,LOOS,2615 6th St,Suite 6,Tuscaloosa,AL,35401,33.2079528,-87.57157983,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/Tuscaloosa,%20AL_(LOOS)_2615.6thSt.pdf?csf=1&web=1&e=cb9xcd","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/EmergencyFloorplans/TBD_Tuscaloosa,%20AL_(LOOS)_2615.6thSt_EmergencyPlan.pdf?csf=1&web=1&e=FkZ52I"
